CustomerKey,CustomerName,Segment,Industry,State,AcquisitionChannel,CustomerSince
1,Customer 001,SMB,Retail,WA,E-commerce,2022-01-01
2,Customer 002,Mid-Market,Hospitality,WA,E-commerce,2025-05-27
3,Customer 003,SMB,Real Estate,CO,Partner,2025-10-15
4,Customer 004,Mid-Market,Real Estate,AZ,Direct,2025-09-11
5,Customer 005,Enterprise,Manufacturing,UT,Direct,2025-10-09
6,Customer 006,Mid-Market,Hospitality,TX,Direct,2022-04-05
7,Customer 007,Mid-Market,Real Estate,NJ,Direct,2024-07-21
8,Customer 008,SMB,Hospitality,AZ,E-commerce,2024-02-26
9,Customer 009,SMB,Hospitality,TX,E-commerce,2025-11-09
10,Customer 010,Enterprise,Healthcare,WA,Direct,2022-12-27
11,Customer 011,Retail,Real Estate,CA,E-commerce,2023-05-26
12,Customer 012,Retail,Healthcare,CO,Direct,2024-08-09
13,Customer 013,SMB,Manufacturing,CO,E-commerce,2026-01-13
14,Customer 014,Retail,Technology,FL,Partner,2022-11-22
15,Customer 015,SMB,Real Estate,CO,Partner,2023-05-22
16,Customer 016,Retail,Retail,FL,Partner,2025-07-07
17,Customer 017,Mid-Market,Real Estate,UT,E-commerce,2023-08-09
18,Customer 018,Mid-Market,Manufacturing,GA,E-commerce,2022-06-15
19,Customer 019,Enterprise,Hospitality,WA,E-commerce,2022-11-09
20,Customer 020,SMB,Healthcare,WA,Partner,2023-11-09
21,Customer 021,SMB,Technology,CA,Direct,2024-05-10
22,Customer 022,Mid-Market,Professional Services,NJ,Partner,2024-09-03
23,Customer 023,Enterprise,Manufacturing,NY,Partner,2024-05-08
24,Customer 024,SMB,Hospitality,CO,Direct,2023-07-13
25,Customer 025,SMB,Professional Services,WA,Partner,2025-10-01
26,Customer 026,SMB,Technology,AZ,Direct,2024-08-15
27,Customer 027,Retail,Professional Services,WA,E-commerce,2025-03-01
28,Customer 028,SMB,Healthcare,MA,Partner,2022-10-05
29,Customer 029,Retail,Education,CA,Partner,2024-02-16
30,Customer 030,Mid-Market,Real Estate,GA,Partner,2024-02-16
31,Customer 031,Mid-Market,Technology,NY,Direct,2024-08-21
32,Customer 032,Enterprise,Professional Services,GA,Direct,2025-08-24
33,Customer 033,Enterprise,Professional Services,CA,Direct,2023-02-13
34,Customer 034,Retail,Education,IL,Direct,2024-08-27
35,Customer 035,SMB,Hospitality,CO,E-commerce,2023-06-09
36,Customer 036,Retail,Education,NJ,E-commerce,2026-01-11
37,Customer 037,Enterprise,Education,NY,Direct,2025-03-31
38,Customer 038,Enterprise,Retail,NJ,E-commerce,2024-02-08
39,Customer 039,Mid-Market,Hospitality,UT,E-commerce,2025-11-15
40,Customer 040,Retail,Hospitality,UT,E-commerce,2023-09-10
41,Customer 041,Retail,Healthcare,NJ,Direct,2023-12-13
42,Customer 042,SMB,Manufacturing,UT,E-commerce,2025-08-19
43,Customer 043,Mid-Market,Technology,CO,Direct,2024-06-06
44,Customer 044,Retail,Real Estate,AZ,Direct,2024-06-10
45,Customer 045,Mid-Market,Retail,NJ,E-commerce,2024-09-17
46,Customer 046,SMB,Retail,GA,Direct,2022-06-27
47,Customer 047,Mid-Market,Real Estate,IL,Partner,2025-03-13
48,Customer 048,SMB,Technology,GA,Direct,2024-10-09
49,Customer 049,Retail,Education,CO,Direct,2023-12-28
50,Customer 050,Retail,Manufacturing,NY,E-commerce,2025-12-07
51,Customer 051,Retail,Professional Services,FL,Direct,2022-06-25
52,Customer 052,Mid-Market,Technology,CO,E-commerce,2023-05-08
53,Customer 053,SMB,Real Estate,CO,Direct,2022-07-10
54,Customer 054,Mid-Market,Technology,AZ,Direct,2023-09-20
55,Customer 055,SMB,Manufacturing,CO,E-commerce,2024-12-23
56,Customer 056,Mid-Market,Manufacturing,GA,E-commerce,2024-07-18
57,Customer 057,Mid-Market,Retail,IL,Direct,2026-01-17
58,Customer 058,Mid-Market,Healthcare,AZ,E-commerce,2025-11-14
59,Customer 059,Mid-Market,Hospitality,AZ,Partner,2023-07-21
60,Customer 060,SMB,Retail,UT,Direct,2023-08-30
61,Customer 061,Mid-Market,Education,NY,Direct,2025-12-21
62,Customer 062,SMB,Retail,CA,Direct,2025-02-07
63,Customer 063,Mid-Market,Education,MA,Partner,2022-07-30
64,Customer 064,Retail,Retail,CO,Partner,2024-06-21
65,Customer 065,Mid-Market,Professional Services,NY,Partner,2022-08-22
66,Customer 066,Retail,Technology,CO,Direct,2025-03-27
67,Customer 067,SMB,Professional Services,TX,Direct,2025-02-26
68,Customer 068,Retail,Healthcare,IL,Direct,2025-02-16
69,Customer 069,Retail,Hospitality,FL,Partner,2024-07-11
70,Customer 070,Retail,Retail,NJ,Partner,2023-09-18
71,Customer 071,SMB,Professional Services,NJ,E-commerce,2022-07-23
72,Customer 072,Retail,Hospitality,MA,Direct,2023-06-26
73,Customer 073,SMB,Education,IL,Direct,2025-02-04
74,Customer 074,Enterprise,Professional Services,WA,Partner,2025-11-12
75,Customer 075,SMB,Retail,CA,Direct,2023-08-14
76,Customer 076,SMB,Real Estate,UT,E-commerce,2023-04-24
77,Customer 077,Retail,Hospitality,WA,Direct,2025-01-20
78,Customer 078,Mid-Market,Education,NY,Direct,2022-05-27
79,Customer 079,Enterprise,Retail,NJ,E-commerce,2025-03-11
80,Customer 080,Retail,Real Estate,UT,Partner,2025-11-11
81,Customer 081,Mid-Market,Technology,NY,E-commerce,2025-01-10
82,Customer 082,SMB,Healthcare,NJ,Direct,2024-06-03
83,Customer 083,SMB,Retail,CA,Direct,2023-04-14
84,Customer 084,Retail,Professional Services,MA,Partner,2025-03-26
85,Customer 085,Enterprise,Education,CO,E-commerce,2025-08-27
86,Customer 086,SMB,Retail,TX,E-commerce,2024-06-11
87,Customer 087,SMB,Real Estate,UT,Partner,2023-12-14
88,Customer 088,SMB,Manufacturing,MA,Direct,2022-11-26
89,Customer 089,Mid-Market,Real Estate,NY,E-commerce,2024-03-31
90,Customer 090,Retail,Professional Services,CO,Direct,2023-10-07
91,Customer 091,Mid-Market,Healthcare,WA,E-commerce,2022-01-03
92,Customer 092,SMB,Real Estate,WA,Direct,2023-01-20
93,Customer 093,SMB,Real Estate,MA,Partner,2022-04-16
94,Customer 094,Mid-Market,Education,NY,Partner,2025-12-01
95,Customer 095,SMB,Professional Services,MA,E-commerce,2023-05-06
96,Customer 096,SMB,Retail,FL,Direct,2025-02-05
97,Customer 097,SMB,Hospitality,UT,Partner,2022-08-29
98,Customer 098,SMB,Education,CO,E-commerce,2023-08-21
99,Customer 099,SMB,Retail,WA,Partner,2024-08-25
100,Customer 100,Mid-Market,Education,WA,Direct,2025-05-12
101,Customer 101,SMB,Education,UT,Partner,2024-04-29
102,Customer 102,Mid-Market,Retail,CA,Partner,2026-01-26
103,Customer 103,Mid-Market,Real Estate,TX,Partner,2025-01-08
104,Customer 104,SMB,Manufacturing,FL,E-commerce,2024-02-12
105,Customer 105,SMB,Manufacturing,IL,E-commerce,2023-05-05
106,Customer 106,SMB,Hospitality,WA,Direct,2023-10-14
107,Customer 107,SMB,Technology,WA,E-commerce,2025-08-28
108,Customer 108,Retail,Real Estate,CA,Direct,2024-10-25
109,Customer 109,Retail,Manufacturing,UT,Partner,2022-07-24
110,Customer 110,SMB,Real Estate,CA,E-commerce,2022-10-23
111,Customer 111,SMB,Education,UT,Partner,2023-06-27
112,Customer 112,Mid-Market,Technology,MA,Direct,2023-11-04
113,Customer 113,Retail,Technology,GA,E-commerce,2026-01-11
114,Customer 114,Retail,Real Estate,FL,Direct,2025-06-18
115,Customer 115,Enterprise,Retail,IL,E-commerce,2022-07-05
116,Customer 116,SMB,Healthcare,MA,E-commerce,2022-07-25
117,Customer 117,SMB,Retail,CA,Direct,2023-10-27
118,Customer 118,Retail,Retail,GA,Partner,2024-06-01
119,Customer 119,Enterprise,Technology,NJ,E-commerce,2023-01-04
120,Customer 120,Mid-Market,Healthcare,NJ,Partner,2025-06-23
121,Customer 121,SMB,Real Estate,NJ,Direct,2023-04-21
122,Customer 122,SMB,Retail,CO,Partner,2025-09-27
123,Customer 123,Enterprise,Real Estate,NY,E-commerce,2025-01-24
124,Customer 124,Mid-Market,Real Estate,GA,E-commerce,2023-09-05
125,Customer 125,SMB,Technology,AZ,Partner,2024-07-24
126,Customer 126,Retail,Hospitality,WA,Partner,2022-08-07
127,Customer 127,Mid-Market,Manufacturing,NJ,Partner,2025-12-03
128,Customer 128,Mid-Market,Technology,NY,Direct,2025-03-05
