YearMonthKey,MonthStart,ProductKey,LocationKey,UnitsOnHand,ReorderPoint,SafetyStock,InventoryValue
202401,2024-01-01,1,1,83,30,12,17120.41
202401,2024-01-01,2,1,65,30,10,27856.4
202401,2024-01-01,3,1,25,25,12,9207.25
202401,2024-01-01,4,1,51,25,15,18716.49
202401,2024-01-01,5,1,29,20,10,15447.72
202401,2024-01-01,6,1,51,20,10,11588.73
202401,2024-01-01,7,1,31,30,12,6195.04
202401,2024-01-01,8,1,76,35,10,23535.68
202401,2024-01-01,9,1,49,35,15,5280.24
202401,2024-01-01,10,1,54,30,18,24426.9
202401,2024-01-01,11,1,47,25,18,24927.86
202401,2024-01-01,12,1,35,30,18,2452.8
202401,2024-01-01,13,1,59,20,10,8262.95
202401,2024-01-01,14,1,84,25,18,7333.2
202401,2024-01-01,15,1,42,35,18,17619.42
202401,2024-01-01,16,1,36,35,12,9566.64
202401,2024-01-01,17,1,52,30,12,3135.6
202401,2024-01-01,18,1,56,30,15,22926.96
202401,2024-01-01,19,1,50,30,18,12153.0
202401,2024-01-01,20,1,78,25,15,49466.82
202401,2024-01-01,21,1,50,20,15,20103.5
202401,2024-01-01,22,1,74,25,18,6119.06
202401,2024-01-01,23,1,48,20,15,30081.12
202401,2024-01-01,24,1,42,35,12,10658.76
202401,2024-01-01,25,1,50,25,10,24251.5
202401,2024-01-01,26,1,70,20,15,13808.9
202401,2024-01-01,27,1,46,35,18,16073.32
202401,2024-01-01,28,1,51,25,12,29101.62
202401,2024-01-01,29,1,70,30,15,4482.8
202401,2024-01-01,30,1,47,25,12,22426.99
202401,2024-01-01,31,1,93,35,18,8664.81
202401,2024-01-01,32,1,55,35,15,10662.3
202401,2024-01-01,33,1,67,35,10,39223.14
202401,2024-01-01,34,1,62,20,18,24587.34
202401,2024-01-01,35,1,42,35,12,11132.1
202401,2024-01-01,36,1,49,25,15,6721.82
202401,2024-01-01,37,1,44,20,10,12197.68
202401,2024-01-01,38,1,48,30,18,8312.16
202401,2024-01-01,39,1,68,35,15,18885.64
202401,2024-01-01,40,1,42,20,10,14568.54
202401,2024-01-01,41,1,65,35,12,10073.7
202401,2024-01-01,42,1,77,30,15,6183.1
202401,2024-01-01,43,1,82,35,15,23338.84
202401,2024-01-01,44,1,54,20,18,3364.74
202401,2024-01-01,45,1,59,20,12,7697.73
202401,2024-01-01,46,1,57,30,15,6972.81
202401,2024-01-01,47,1,61,20,18,32416.62
202401,2024-01-01,48,1,80,35,15,30899.2
202401,2024-01-01,49,1,83,20,12,50106.27
202401,2024-01-01,50,1,53,20,18,13570.65
202401,2024-01-01,51,1,75,30,15,6840.75
202401,2024-01-01,52,1,68,30,12,40141.08
202401,2024-01-01,53,1,40,25,18,17664.8
202401,2024-01-01,54,1,75,20,10,7476.75
202401,2024-01-01,55,1,98,20,12,34868.4
202401,2024-01-01,56,1,93,30,18,31683.24
202401,2024-01-01,57,1,48,35,12,21909.6
202401,2024-01-01,58,1,49,25,15,18293.66
202401,2024-01-01,59,1,89,30,12,9204.38
202401,2024-01-01,60,1,54,35,15,18925.92
202401,2024-01-01,61,1,57,30,18,26854.98
202401,2024-01-01,62,1,98,30,18,14493.22
202401,2024-01-01,63,1,72,20,15,23083.2
202401,2024-01-01,64,1,76,30,10,24996.4
202401,2024-01-01,65,1,80,35,15,25464.0
202401,2024-01-01,66,1,89,20,18,51758.84
202401,2024-01-01,67,1,58,30,12,7240.14
202401,2024-01-01,68,1,52,20,18,22242.48
202401,2024-01-01,69,1,97,25,18,38522.58
202401,2024-01-01,70,1,88,25,12,40317.2
202401,2024-01-01,71,1,80,20,10,29614.4
202401,2024-01-01,72,1,46,25,10,16859.92
202401,2024-01-01,73,1,71,35,15,19176.39
202401,2024-01-01,74,1,52,35,12,21793.2
202401,2024-01-01,75,1,66,35,12,11594.88
202401,2024-01-01,76,1,56,35,18,24503.92
202401,2024-01-01,77,1,75,20,12,7517.25
202401,2024-01-01,78,1,52,25,15,18978.44
202401,2024-01-01,79,1,71,35,18,14999.46
202401,2024-01-01,80,1,87,30,12,39594.57
202401,2024-01-01,81,1,82,35,15,18229.42
202401,2024-01-01,82,1,74,30,15,35054.54
202401,2024-01-01,83,1,82,35,12,33555.22
202401,2024-01-01,84,1,66,25,15,28726.5
202401,2024-01-01,85,1,82,30,12,15512.76
202401,2024-01-01,86,1,100,30,15,57195.0
202401,2024-01-01,87,1,84,25,18,38841.6
202401,2024-01-01,88,1,96,30,18,14883.84
202401,2024-01-01,89,1,80,30,15,11662.4
202401,2024-01-01,90,1,95,30,10,34126.85
202401,2024-01-01,91,1,92,35,18,41789.16
202401,2024-01-01,92,1,65,30,12,26452.4
202401,2024-01-01,93,1,71,30,10,23297.94
202401,2024-01-01,94,1,69,30,10,24606.09
202401,2024-01-01,95,1,78,30,18,13782.6
202401,2024-01-01,96,1,48,30,18,8857.44
202401,2024-01-01,97,1,53,25,12,20566.65
202401,2024-01-01,98,1,82,30,15,26320.36
202401,2024-01-01,99,1,51,25,10,21087.48
202401,2024-01-01,100,1,72,25,12,26520.48
202401,2024-01-01,1,2,36,20,12,7425.72
202401,2024-01-01,2,2,58,25,10,24856.48
202401,2024-01-01,3,2,27,20,18,9943.83
202401,2024-01-01,4,2,51,30,18,18716.49
202401,2024-01-01,5,2,15,20,12,7990.2
202401,2024-01-01,6,2,82,20,12,18632.86
202401,2024-01-01,7,2,29,35,18,5795.36
202401,2024-01-01,8,2,62,35,12,19200.16
202401,2024-01-01,9,2,50,30,15,5388.0
202401,2024-01-01,10,2,50,30,10,22617.5
202401,2024-01-01,11,2,48,20,12,25458.24
202401,2024-01-01,12,2,66,20,12,4625.28
202401,2024-01-01,13,2,58,35,12,8122.9
202401,2024-01-01,14,2,36,20,18,3142.8
202401,2024-01-01,15,2,71,35,12,29785.21
202401,2024-01-01,16,2,52,30,10,13818.48
202401,2024-01-01,17,2,64,20,15,3859.2
202401,2024-01-01,18,2,27,20,15,11054.07
202401,2024-01-01,19,2,89,30,18,21632.34
202401,2024-01-01,20,2,28,35,12,17757.32
202401,2024-01-01,21,2,32,35,15,12866.24
202401,2024-01-01,22,2,36,25,10,2976.84
