YearMonthKey,MonthStart,LocationKey,SalesTarget
202401,2024-01-01,1,163800.0
202401,2024-01-01,2,174600.0
202401,2024-01-01,3,185400.0
202401,2024-01-01,4,196200.0
202401,2024-01-01,5,207000.0
202401,2024-01-01,6,217800.0
202402,2024-02-01,1,173628.0
202402,2024-02-01,2,185076.0
202402,2024-02-01,3,196524.0
202402,2024-02-01,4,207972.0
202402,2024-02-01,5,219420.0
202402,2024-02-01,6,230868.0
202403,2024-03-01,1,180822.6
202403,2024-03-01,2,192744.96
202403,2024-03-01,3,204667.33
202403,2024-03-01,4,216589.7
202403,2024-03-01,5,228512.07
202403,2024-03-01,6,240434.44
202404,2024-04-01,1,183456.0
202404,2024-04-01,2,195552.0
202404,2024-04-01,3,207648.0
202404,2024-04-01,4,219744.0
202404,2024-04-01,5,231840.0
202404,2024-04-01,6,243936.0
202405,2024-05-01,1,180822.6
202405,2024-05-01,2,192744.96
202405,2024-05-01,3,204667.33
202405,2024-05-01,4,216589.7
202405,2024-05-01,5,228512.07
202405,2024-05-01,6,240434.44
202406,2024-06-01,1,173628.0
202406,2024-06-01,2,185076.0
202406,2024-06-01,3,196524.0
202406,2024-06-01,4,207972.0
202406,2024-06-01,5,219420.0
202406,2024-06-01,6,230868.0
202407,2024-07-01,1,163800.0
202407,2024-07-01,2,174600.0
202407,2024-07-01,3,185400.0
202407,2024-07-01,4,196200.0
202407,2024-07-01,5,207000.0
202407,2024-07-01,6,217800.0
202408,2024-08-01,1,153972.0
202408,2024-08-01,2,164124.0
202408,2024-08-01,3,174276.0
202408,2024-08-01,4,184428.0
202408,2024-08-01,5,194580.0
202408,2024-08-01,6,204732.0
202409,2024-09-01,1,146777.4
202409,2024-09-01,2,156455.04
202409,2024-09-01,3,166132.67
202409,2024-09-01,4,175810.3
202409,2024-09-01,5,185487.93
202409,2024-09-01,6,195165.56
202410,2024-10-01,1,144144.0
202410,2024-10-01,2,153648.0
202410,2024-10-01,3,163152.0
202410,2024-10-01,4,172656.0
202410,2024-10-01,5,182160.0
202410,2024-10-01,6,191664.0
202411,2024-11-01,1,163157.4
202411,2024-11-01,2,173915.04
202411,2024-11-01,3,184672.67
202411,2024-11-01,4,195430.3
202411,2024-11-01,5,206187.93
202411,2024-11-01,6,216945.56
202412,2024-12-01,1,170352.0
202412,2024-12-01,2,181584.0
202412,2024-12-01,3,192816.0
202412,2024-12-01,4,204048.0
202412,2024-12-01,5,215280.0
202412,2024-12-01,6,226512.0
202501,2025-01-01,1,180180.0
202501,2025-01-01,2,192060.0
202501,2025-01-01,3,203940.0
202501,2025-01-01,4,215820.0
202501,2025-01-01,5,227700.0
202501,2025-01-01,6,239580.0
202502,2025-02-01,1,190990.8
202502,2025-02-01,2,203583.6
202502,2025-02-01,3,216176.4
202502,2025-02-01,4,228769.2
202502,2025-02-01,5,241362.0
202502,2025-02-01,6,253954.8
202503,2025-03-01,1,198904.85
202503,2025-03-01,2,212019.46
202503,2025-03-01,3,225134.07
202503,2025-03-01,4,238248.67
202503,2025-03-01,5,251363.28
202503,2025-03-01,6,264477.88
202504,2025-04-01,1,201801.6
202504,2025-04-01,2,215107.2
202504,2025-04-01,3,228412.8
202504,2025-04-01,4,241718.4
202504,2025-04-01,5,255024.0
202504,2025-04-01,6,268329.6
202505,2025-05-01,1,198904.85
202505,2025-05-01,2,212019.46
202505,2025-05-01,3,225134.07
202505,2025-05-01,4,238248.67
202505,2025-05-01,5,251363.28
202505,2025-05-01,6,264477.88
202506,2025-06-01,1,190990.8
202506,2025-06-01,2,203583.6
202506,2025-06-01,3,216176.4
202506,2025-06-01,4,228769.2
202506,2025-06-01,5,241362.0
202506,2025-06-01,6,253954.8
202507,2025-07-01,1,180180.0
202507,2025-07-01,2,192060.0
202507,2025-07-01,3,203940.0
202507,2025-07-01,4,215820.0
202507,2025-07-01,5,227700.0
202507,2025-07-01,6,239580.0
202508,2025-08-01,1,169369.2
202508,2025-08-01,2,180536.4
202508,2025-08-01,3,191703.6
202508,2025-08-01,4,202870.8
202508,2025-08-01,5,214038.0
202508,2025-08-01,6,225205.2
202509,2025-09-01,1,161455.15
202509,2025-09-01,2,172100.54
202509,2025-09-01,3,182745.93
202509,2025-09-01,4,193391.33
202509,2025-09-01,5,204036.72
202509,2025-09-01,6,214682.12
202510,2025-10-01,1,158558.4
202510,2025-10-01,2,169012.8
202510,2025-10-01,3,179467.2
202510,2025-10-01,4,189921.6
202510,2025-10-01,5,200376.0
202510,2025-10-01,6,210830.4
202511,2025-11-01,1,179473.15
202511,2025-11-01,2,191306.54
202511,2025-11-01,3,203139.93
202511,2025-11-01,4,214973.33
202511,2025-11-01,5,226806.72
202511,2025-11-01,6,238640.12
202512,2025-12-01,1,187387.2
202512,2025-12-01,2,199742.4
202512,2025-12-01,3,212097.6
202512,2025-12-01,4,224452.8
202512,2025-12-01,5,236808.0
202512,2025-12-01,6,249163.2
202601,2026-01-01,1,193284.0
202601,2026-01-01,2,206028.0
202601,2026-01-01,3,218772.0
202601,2026-01-01,4,231516.0
202601,2026-01-01,5,244260.0
202601,2026-01-01,6,257004.0
