entry_id,posting_date,item_id,location_id,entry_type,quantity
ILE00000001,2024-01-01,ITEM0001,LOC001,Purchase Receipt,42
ILE00000002,2024-01-01,ITEM0001,LOC001,Sales Shipment,-52
ILE00000003,2024-01-01,ITEM0001,LOC001,Adjustment,2
ILE00000004,2024-01-01,ITEM0002,LOC001,Purchase Receipt,40
ILE00000005,2024-01-01,ITEM0002,LOC001,Sales Shipment,-42
ILE00000006,2024-01-01,ITEM0002,LOC001,Adjustment,-2
ILE00000007,2024-01-01,ITEM0003,LOC001,Purchase Receipt,77
ILE00000008,2024-01-01,ITEM0003,LOC001,Sales Shipment,-35
ILE00000009,2024-01-01,ITEM0003,LOC001,Adjustment,2
ILE00000010,2024-01-01,ITEM0004,LOC001,Purchase Receipt,44
ILE00000011,2024-01-01,ITEM0004,LOC001,Sales Shipment,-27
ILE00000012,2024-01-01,ITEM0004,LOC001,Adjustment,-1
ILE00000013,2024-01-01,ITEM0005,LOC001,Purchase Receipt,64
ILE00000014,2024-01-01,ITEM0005,LOC001,Sales Shipment,-56
ILE00000015,2024-01-01,ITEM0005,LOC001,Adjustment,1
ILE00000016,2024-01-01,ITEM0006,LOC001,Purchase Receipt,66
ILE00000017,2024-01-01,ITEM0006,LOC001,Sales Shipment,-29
ILE00000018,2024-01-01,ITEM0006,LOC001,Adjustment,2
ILE00000019,2024-01-01,ITEM0007,LOC001,Purchase Receipt,64
ILE00000020,2024-01-01,ITEM0007,LOC001,Sales Shipment,-62
ILE00000021,2024-01-01,ITEM0007,LOC001,Adjustment,-1
ILE00000022,2024-01-01,ITEM0008,LOC001,Purchase Receipt,60
ILE00000023,2024-01-01,ITEM0008,LOC001,Sales Shipment,-32
ILE00000024,2024-01-01,ITEM0009,LOC001,Purchase Receipt,72
ILE00000025,2024-01-01,ITEM0009,LOC001,Sales Shipment,-86
ILE00000026,2024-01-01,ITEM0010,LOC001,Purchase Receipt,72
ILE00000027,2024-01-01,ITEM0010,LOC001,Sales Shipment,-20
ILE00000028,2024-01-01,ITEM0010,LOC001,Adjustment,-2
ILE00000029,2024-01-01,ITEM0011,LOC001,Purchase Receipt,65
ILE00000030,2024-01-01,ITEM0011,LOC001,Sales Shipment,-48
ILE00000031,2024-01-01,ITEM0012,LOC001,Purchase Receipt,75
ILE00000032,2024-01-01,ITEM0012,LOC001,Sales Shipment,-66
ILE00000033,2024-01-01,ITEM0012,LOC001,Adjustment,-2
ILE00000034,2024-01-01,ITEM0013,LOC001,Purchase Receipt,49
ILE00000035,2024-01-01,ITEM0013,LOC001,Sales Shipment,-58
ILE00000036,2024-01-01,ITEM0014,LOC001,Purchase Receipt,69
ILE00000037,2024-01-01,ITEM0014,LOC001,Sales Shipment,-47
ILE00000038,2024-01-01,ITEM0014,LOC001,Adjustment,3
ILE00000039,2024-01-01,ITEM0015,LOC001,Purchase Receipt,71
ILE00000040,2024-01-01,ITEM0015,LOC001,Sales Shipment,-33
ILE00000041,2024-01-01,ITEM0015,LOC001,Adjustment,3
ILE00000042,2024-01-01,ITEM0016,LOC001,Purchase Receipt,82
ILE00000043,2024-01-01,ITEM0016,LOC001,Sales Shipment,-55
ILE00000044,2024-01-01,ITEM0016,LOC001,Adjustment,2
ILE00000045,2024-01-01,ITEM0017,LOC001,Purchase Receipt,57
ILE00000046,2024-01-01,ITEM0017,LOC001,Sales Shipment,-25
ILE00000047,2024-01-01,ITEM0017,LOC001,Adjustment,-3
ILE00000048,2024-01-01,ITEM0018,LOC001,Purchase Receipt,75
ILE00000049,2024-01-01,ITEM0018,LOC001,Sales Shipment,-30
ILE00000050,2024-01-01,ITEM0018,LOC001,Adjustment,-2
ILE00000051,2024-01-01,ITEM0019,LOC001,Purchase Receipt,86
ILE00000052,2024-01-01,ITEM0019,LOC001,Sales Shipment,-9
ILE00000053,2024-01-01,ITEM0019,LOC001,Adjustment,2
ILE00000054,2024-01-01,ITEM0020,LOC001,Purchase Receipt,90
ILE00000055,2024-01-01,ITEM0020,LOC001,Sales Shipment,-31
