budget_month,location_id,budget_type,budget_amount,currency_code,status
2024-01-01,LOC001,SALES,163800.0,USD,Approved
2024-01-01,LOC002,SALES,174600.0,USD,Approved
2024-01-01,LOC003,SALES,185400.0,USD,Approved
2024-01-01,LOC004,SALES,196200.0,USD,Approved
2024-01-01,LOC005,SALES,207000.0,USD,Approved
2024-01-01,LOC006,SALES,217800.0,USD,Approved
2024-02-01,LOC001,SALES,163800.0,USD,Approved
2024-02-01,LOC002,SALES,174600.0,USD,Approved
2024-02-01,LOC003,SALES,185400.0,USD,Approved
2024-02-01,LOC004,SALES,196200.0,USD,Approved
2024-02-01,LOC005,SALES,207000.0,USD,Approved
2024-02-01,LOC006,SALES,217800.0,USD,Approved
2024-03-01,LOC001,SALES,163800.0,USD,Approved
2024-03-01,LOC002,SALES,174600.0,USD,Approved
2024-03-01,LOC003,SALES,185400.0,USD,Approved
2024-03-01,LOC004,SALES,196200.0,USD,Approved
2024-03-01,LOC005,SALES,207000.0,USD,Approved
2024-03-01,LOC006,SALES,217800.0,USD,Approved
2024-04-01,LOC001,SALES,163800.0,USD,Approved
2024-04-01,LOC002,SALES,174600.0,USD,Approved
2024-04-01,LOC003,SALES,185400.0,USD,Approved
2024-04-01,LOC004,SALES,196200.0,USD,Approved
2024-04-01,LOC005,SALES,207000.0,USD,Approved
2024-04-01,LOC006,SALES,217800.0,USD,Approved
2024-05-01,LOC001,SALES,163800.0,USD,Approved
2024-05-01,LOC002,SALES,174600.0,USD,Approved
2024-05-01,LOC003,SALES,185400.0,USD,Approved
2024-05-01,LOC004,SALES,196200.0,USD,Approved
2024-05-01,LOC005,SALES,207000.0,USD,Approved
2024-05-01,LOC006,SALES,217800.0,USD,Approved
2024-06-01,LOC001,SALES,163800.0,USD,Approved
2024-06-01,LOC002,SALES,174600.0,USD,Approved
2024-06-01,LOC003,SALES,185400.0,USD,Approved
2024-06-01,LOC004,SALES,196200.0,USD,Approved
2024-06-01,LOC005,SALES,207000.0,USD,Approved
2024-06-01,LOC006,SALES,217800.0,USD,Approved
2024-07-01,LOC001,SALES,163800.0,USD,Approved
2024-07-01,LOC002,SALES,174600.0,USD,Approved
2024-07-01,LOC003,SALES,185400.0,USD,Approved
2024-07-01,LOC004,SALES,196200.0,USD,Approved
2024-07-01,LOC005,SALES,207000.0,USD,Approved
2024-07-01,LOC006,SALES,217800.0,USD,Approved
2024-08-01,LOC001,SALES,163800.0,USD,Approved
2024-08-01,LOC002,SALES,174600.0,USD,Approved
2024-08-01,LOC003,SALES,185400.0,USD,Approved
2024-08-01,LOC004,SALES,196200.0,USD,Approved
2024-08-01,LOC005,SALES,207000.0,USD,Approved
2024-08-01,LOC006,SALES,217800.0,USD,Approved
2024-09-01,LOC001,SALES,163800.0,USD,Approved
2024-09-01,LOC002,SALES,174600.0,USD,Approved
2024-09-01,LOC003,SALES,185400.0,USD,Approved
2024-09-01,LOC004,SALES,196200.0,USD,Approved
2024-09-01,LOC005,SALES,207000.0,USD,Approved
2024-09-01,LOC006,SALES,217800.0,USD,Approved
2024-10-01,LOC001,SALES,163800.0,USD,Approved
2024-10-01,LOC002,SALES,174600.0,USD,Approved
2024-10-01,LOC003,SALES,185400.0,USD,Approved
2024-10-01,LOC004,SALES,196200.0,USD,Approved
2024-10-01,LOC005,SALES,207000.0,USD,Approved
2024-10-01,LOC006,SALES,217800.0,USD,Approved
2024-11-01,LOC001,SALES,180180.0,USD,Approved
2024-11-01,LOC002,SALES,192060.0,USD,Approved
2024-11-01,LOC003,SALES,203940.0,USD,Approved
2024-11-01,LOC004,SALES,215820.0,USD,Approved
2024-11-01,LOC005,SALES,227700.0,USD,Approved
2024-11-01,LOC006,SALES,239580.0,USD,Approved
2024-12-01,LOC001,SALES,180180.0,USD,Approved
2024-12-01,LOC002,SALES,192060.0,USD,Approved
2024-12-01,LOC003,SALES,203940.0,USD,Approved
2024-12-01,LOC004,SALES,215820.0,USD,Approved
2024-12-01,LOC005,SALES,227700.0,USD,Approved
2024-12-01,LOC006,SALES,239580.0,USD,Approved
2025-01-01,LOC001,SALES,180180.0,USD,Approved
2025-01-01,LOC002,SALES,192060.0,USD,Approved
2025-01-01,LOC003,SALES,203940.0,USD,Approved
2025-01-01,LOC004,SALES,215820.0,USD,Approved
2025-01-01,LOC005,SALES,227700.0,USD,Approved
2025-01-01,LOC006,SALES,239580.0,USD,Approved
2025-02-01,LOC001,SALES,180180.0,USD,Approved
2025-02-01,LOC002,SALES,192060.0,USD,Approved
2025-02-01,LOC003,SALES,203940.0,USD,Approved
2025-02-01,LOC004,SALES,215820.0,USD,Approved
2025-02-01,LOC005,SALES,227700.0,USD,Approved
2025-02-01,LOC006,SALES,239580.0,USD,Approved
2025-03-01,LOC001,SALES,180180.0,USD,Approved
2025-03-01,LOC002,SALES,192060.0,USD,Approved
2025-03-01,LOC003,SALES,203940.0,USD,Approved
2025-03-01,LOC004,SALES,215820.0,USD,Approved
2025-03-01,LOC005,SALES,227700.0,USD,Approved
2025-03-01,LOC006,SALES,239580.0,USD,Approved
2025-04-01,LOC001,SALES,180180.0,USD,Approved
2025-04-01,LOC002,SALES,192060.0,USD,Approved
2025-04-01,LOC003,SALES,203940.0,USD,Approved
