sales_order_id,order_date,customer_id,location_id,salesperson_id,sales_channel,document_status,currency_code
SO100001,2024-01-01,CUST0215,LOC001,SP003,Direct,Posted,USD
SO100002,2024-01-01,CUST0033,LOC005,SP014,Direct,Posted,USD
SO100003,2024-01-01,CUST0201,LOC001,SP001,Direct,Posted,USD
SO100004,2024-01-01,CUST0037,LOC003,SP007,E-commerce,Posted,USD
SO100005,2024-01-01,CUST0076,LOC004,SP012,Partner,Posted,USD
SO100006,2024-01-01,CUST0177,LOC002,SP006,Direct,Posted,USD
SO100007,2024-01-01,CUST0012,LOC006,SP016,E-commerce,Posted,USD
SO100008,2024-01-01,CUST0075,LOC004,SP011,Direct,Posted,USD
SO100009,2024-01-01,CUST0119,LOC003,SP007,Direct,Posted,USD
SO100010,2024-01-01,CUST0094,LOC003,SP008,Direct,Posted,USD
SO100011,2024-01-01,CUST0218,LOC002,SP006,Partner,Posted,USD
SO100012,2024-01-01,CUST0162,LOC002,SP005,Direct,Posted,USD
SO100013,2024-01-01,CUST0134,LOC002,SP006,E-commerce,Posted,USD
SO100014,2024-01-01,CUST0082,LOC003,SP007,E-commerce,Posted,USD
SO100015,2024-01-01,CUST0061,LOC004,SP010,Direct,Posted,USD
SO100016,2024-01-01,CUST0219,LOC005,SP014,Direct,Posted,USD
SO100017,2024-01-01,CUST0095,LOC003,SP008,E-commerce,Posted,USD
SO100018,2024-01-01,CUST0020,LOC004,SP011,Partner,Posted,USD
SO100019,2024-01-01,CUST0294,LOC003,SP008,Direct,Posted,USD
SO100020,2024-01-01,CUST0300,LOC003,SP007,Direct,Posted,USD
SO100021,2024-01-01,CUST0254,LOC003,SP007,Direct,Posted,USD
SO100022,2024-01-02,CUST0154,LOC003,SP009,Partner,Posted,USD
SO100023,2024-01-02,CUST0231,LOC004,SP011,E-commerce,Posted,USD
SO100024,2024-01-02,CUST0220,LOC003,SP009,E-commerce,Posted,USD
SO100025,2024-01-02,CUST0010,LOC004,SP010,E-commerce,Posted,USD
SO100026,2024-01-02,CUST0051,LOC004,SP012,E-commerce,Posted,USD
SO100027,2024-01-02,CUST0017,LOC005,SP013,Partner,Posted,USD
SO100028,2024-01-02,CUST0109,LOC006,SP018,E-commerce,Posted,USD
SO100029,2024-01-02,CUST0030,LOC001,SP003,E-commerce,Posted,USD
SO100030,2024-01-02,CUST0257,LOC002,SP006,Direct,Posted,USD
SO100031,2024-01-02,CUST0051,LOC001,SP002,E-commerce,Posted,USD
SO100032,2024-01-02,CUST0122,LOC003,SP008,Direct,Posted,USD
SO100033,2024-01-02,CUST0189,LOC001,SP003,E-commerce,Posted,USD
SO100034,2024-01-02,CUST0054,LOC003,SP008,Direct,Posted,USD
SO100035,2024-01-02,CUST0100,LOC004,SP012,Partner,Posted,USD
SO100036,2024-01-02,CUST0218,LOC005,SP015,Partner,Posted,USD
SO100037,2024-01-02,CUST0247,LOC003,SP008,Direct,Posted,USD
SO100038,2024-01-02,CUST0271,LOC004,SP011,E-commerce,Posted,USD
SO100039,2024-01-02,CUST0070,LOC001,SP001,Direct,Posted,USD
SO100040,2024-01-02,CUST0157,LOC001,SP002,E-commerce,Posted,USD
SO100041,2024-01-03,CUST0043,LOC001,SP001,Partner,Posted,USD
SO100042,2024-01-03,CUST0237,LOC003,SP007,Direct,Posted,USD
SO100043,2024-01-03,CUST0156,LOC005,SP013,Partner,Posted,USD
SO100044,2024-01-03,CUST0178,LOC001,SP002,Direct,Posted,USD
SO100045,2024-01-03,CUST0139,LOC003,SP009,E-commerce,Posted,USD
SO100046,2024-01-03,CUST0222,LOC003,SP009,Direct,Posted,USD
SO100047,2024-01-03,CUST0295,LOC005,SP015,Direct,Posted,USD
SO100048,2024-01-03,CUST0182,LOC004,SP010,E-commerce,Posted,USD
SO100049,2024-01-03,CUST0140,LOC005,SP014,E-commerce,Posted,USD
SO100050,2024-01-03,CUST0283,LOC005,SP014,E-commerce,Posted,USD
SO100051,2024-01-03,CUST0146,LOC003,SP008,Direct,Posted,USD
SO100052,2024-01-03,CUST0090,LOC002,SP004,Direct,Posted,USD
SO100053,2024-01-03,CUST0047,LOC003,SP009,Direct,Posted,USD
SO100054,2024-01-03,CUST0206,LOC001,SP003,E-commerce,Posted,USD
SO100055,2024-01-03,CUST0294,LOC002,SP006,Partner,Posted,USD
SO100056,2024-01-03,CUST0016,LOC003,SP007,Partner,Posted,USD
SO100057,2024-01-03,CUST0067,LOC003,SP009,Direct,Posted,USD
