sales_line_id,sales_order_id,item_id,quantity,unit_price,unit_cost,discount_pct
LINE0000001,SO100001,ITEM0081,1,838.97,590.31,0.05
LINE0000002,SO100001,ITEM0005,2,231.79,143.68,0.03
LINE0000003,SO100001,ITEM0041,1,127.36,82.69,0.1
LINE0000004,SO100002,ITEM0100,6,799.51,581.56,0.05
LINE0000005,SO100003,ITEM0028,6,753.74,465.24,0.1
LINE0000006,SO100004,ITEM0086,10,87.42,57.07,0.05
LINE0000007,SO100005,ITEM0079,10,802.03,575.96,0.03
LINE0000008,SO100006,ITEM0084,1,285.2,220.87,0.08
LINE0000009,SO100006,ITEM0041,8,120.28,82.69,0.15
LINE0000010,SO100006,ITEM0032,6,543.37,397.79,0.05
LINE0000011,SO100007,ITEM0012,8,542.24,397.08,0.08
LINE0000012,SO100008,ITEM0037,2,378.44,243.06,0.03
LINE0000013,SO100009,ITEM0085,1,709.52,350.95,0.0
LINE0000014,SO100010,ITEM0059,3,383.22,243.23,0.15
LINE0000015,SO100010,ITEM0024,10,271.37,200.55,0.05
LINE0000016,SO100010,ITEM0077,10,894.14,647.4,0.03
LINE0000017,SO100011,ITEM0004,5,577.35,281.53,0.0
LINE0000018,SO100011,ITEM0030,3,443.83,248.72,0.03
LINE0000019,SO100012,ITEM0027,2,405.06,200.86,0.0
LINE0000020,SO100013,ITEM0078,10,191.34,114.14,0.0
LINE0000021,SO100014,ITEM0022,1,99.73,66.39,0.05
LINE0000022,SO100015,ITEM0030,4,434.68,248.72,0.05
LINE0000023,SO100015,ITEM0035,6,757.71,425.54,0.08
LINE0000024,SO100016,ITEM0077,10,921.79,647.4,0.0
LINE0000025,SO100016,ITEM0023,5,703.51,365.27,0.0
LINE0000026,SO100017,ITEM0090,5,374.84,287.65,0.08
LINE0000027,SO100017,ITEM0087,5,788.98,532.53,0.1
LINE0000028,SO100018,ITEM0092,2,97.41,73.09,0.15
LINE0000029,SO100018,ITEM0055,8,808.89,484.96,0.03
LINE0000030,SO100019,ITEM0040,1,701.6,480.61,0.03
LINE0000031,SO100020,ITEM0057,3,223.05,123.75,0.0
LINE0000032,SO100021,ITEM0069,5,451.04,304.56,0.03
LINE0000033,SO100022,ITEM0096,1,456.07,320.6,0.0
LINE0000034,SO100022,ITEM0099,4,500.36,256.08,0.0
LINE0000035,SO100023,ITEM0006,5,523.19,358.99,0.05
LINE0000036,SO100023,ITEM0054,10,901.63,468.51,0.0
LINE0000037,SO100024,ITEM0085,4,709.52,350.95,0.0
LINE0000038,SO100024,ITEM0075,10,697.77,531.42,0.1
LINE0000039,SO100025,ITEM0023,3,703.51,365.27,0.0
LINE0000040,SO100025,ITEM0008,6,278.49,201.87,0.05
